iter	Passed	Remaining
877	18365	2551
878	18389	2531
879	18413	2510
880	18435	2490
881	18455	2469
882	18476	2448
883	18494	2426
884	18516	2406
885	18537	2385
886	18561	2364
887	18592	2345
888	18612	2323
889	18633	2303
890	18654	2282
891	18676	2261
892	18693	2239
893	18714	2218
894	18736	2198
895	18758	2177
896	18781	2156
897	18801	2135
898	18822	2114
899	18845	2093
900	18870	2073
901	18888	2052
902	18909	2031
903	18942	2011
904	18972	1991
905	19002	1971
906	19032	1951
907	19054	1930
908	19076	1909
909	19096	1888
910	19117	1867
911	19138	1846
912	19161	1825
913	19184	1805
914	19204	1784
915	19228	1763
916	19250	1742
917	19270	1721
918	19289	1700
919	19309	1679
920	19333	1658
921	19351	1637
922	19371	1616
923	19392	1595
924	19414	1574
925	19439	1553
926	19467	1533
927	19490	1512
928	19513	1491
929	19534	1470
930	19553	1449
931	19573	1428
932	19594	1407
933	19616	1386
934	19639	1365
935	19659	1344
936	19680	1323
937	19701	1302
938	19724	1281
939	19744	1260
940	19764	1239
941	19786	1218
942	19805	1197
943	19827	1176
944	19850	1155
945	19872	1134
946	19894	1113
947	19918	1092
948	19943	1071
949	19966	1050
950	19989	1029
951	20013	1009
952	20036	988
953	20057	967
954	20088	946
955	20110	925
956	20131	904
957	20161	883
958	20198	863
959	20226	842
960	20245	821
961	20277	800
962	20304	780
963	20326	759
964	20347	737
965	20372	717
966	20393	695
967	20413	674
968	20430	653
969	20448	632
970	20471	611
971	20496	590
972	20525	569
973	20546	548
974	20568	527
975	20591	506
976	20611	485
977	20633	464
978	20651	442
979	20672	421
980	20694	400
981	20717	379
982	20739	358
983	20761	337
984	20782	316
985	20802	295
986	20823	274
987	20843	253
988	20865	232
989	20886	210
990	20906	189
991	20929	168
992	20951	147
993	20972	126
994	20995	105
995	21019	84
996	21040	63
997	21062	42
998	21081	21
999	21102	0
